id,date,amount,category,description
100,2026-02-14,850.00,Food,Valentines day dinner
101,2026-02-18,380.00,Health,Pharmacy — vitamins
102,2026-02-20,200.00,Other,Birthday card and gift wrap
103,2026-02-21,750.00,Food,Team dinner outing
104,2026-02-22,420.00,Transport,Petrol fill-up
105,2026-02-24,560.00,Food,Zomato — weekend orders
106,2026-02-25,990.00,Shopping,Books from Amazon
107,2026-02-26,300.00,Health,Yoga class — 2 sessions
108,2026-02-28,450.00,Food,Month-end grocery top-up
109,2026-03-01,650.00,Health,Gym monthly fee
110,2026-03-01,1500.00,Food,Monthly grocery run — BigBasket
111,2026-03-02,1800.00,Utilities,Electricity bill
112,2026-03-02,650.00,Utilities,Internet bill
113,2026-03-03,399.00,Entertainment,Netflix subscription
114,2026-03-04,380.00,Transport,Petrol fill-up
115,2026-03-05,280.00,Food,Breakfast meeting — cafe
116,2026-03-05,1800.00,Shopping,Holi outfits and colours
117,2026-03-06,600.00,Entertainment,Holi party tickets
118,2026-03-06,950.00,Food,Holi celebration lunch
119,2026-03-06,420.00,Transport,Cab — Holi party and back
